yr to habitable,yr to life,yr to complex,yr intelligence,yr culture,yr tech,tech lifespan,mass extinction,yr star life,life?
1915365471,768945333,763503675,195638591,22394635,186299,278,3886564295,0,0
1901330874,589185003,975660713,190232363,16455639,207432,546,3450823134,94617404475,0
1266351062,769188052,1090726059,225662527,23525398,310913,357,4521533099,8122299777,1
1446359561,1118197125,938041441,147599553,23887689,248896,303,3443832374,0,0
1750057154,1470181251,926588633,203577928,19992151,131739,277,3536357137,0,0
1474570598,1188124652,1320692204,193249874,16864299,220034,60,4054764157,92123434348,0
2053643065,956021769,1051481450,209452739,24733624,265824,1197,4451118327,0,0
2609253708,1142024509,1685535122,212000290,16931459,117913,111,3441989531,0,0
2052200000,804184855,915348553,210187934,24850958,307198,15499,4184663349,0,0
2224583274,851780288,877101359,166083739,21367137,189973,11,3823625479,56318332036,0
1695540657,1449238851,984133815,212226788,24736076,233773,8765,3365063964,0,0
2458768104,677114290,976438748,242264941,21416244,193936,3809,3858252267,0,0
2217104816,1323176021,654949113,217838254,16887828,196491,456,3451345842,0,0
1902380969,1198707352,875939065,272245471,11939651,237115,708,3085134033,0,0
2106410085,1240324885,749131488,167247119,13466853,223498,621,3848956554,0,0
1620166886,734646569,873825385,112818010,24396969,180383,210,3754141083,0,0
2091263668,1078454731,1335808404,217959865,14842793,211656,5697,3432084351,112421343506,0
2259250467,1087432865,981285266,266951286,19689266,187345,610,4638620572,0,0
2141469553,1070140881,1227440762,223672177,18596813,222077,296,4092011827,116576954958,0
2058556867,917367268,987038448,197738020,22676678,220098,0,3632283566,0,0
2544696783,1360745739,1371728113,198205365,18919022,199432,9859,3817777275,110614350182,0
1600221167,965269671,979207568,172446405,27169258,160406,114,3950255650,0,0
1824452582,1166508983,1208040657,192085798,24909912,240989,34,4629439011,0,0
2115181129,857705163,935273401,155852756,22773557,191921,44,3390385792,0,0
1644687211,901231738,1138363458,180040414,17421235,229604,1522,4188609061,0,0
1890098002,1044259770,805089131,203247891,17578753,234134,50,3678768728,0,0
2028950274,1114808090,679668367,199557420,18951098,155909,398,3290782022,0,0
1712583351,683070666,1007620360,170530127,20263648,242270,1124,3688369872,0,0
1839543804,1061057983,1280330118,222265300,20806394,303549,1338,3741585869,0,0
1299036750,811080321,955349289,217345092,18852669,204269,6,3702032294,0,0
1780455478,698126374,1027158746,199873822,19759669,184438,289,4020648978,0,0
1985869202,1219504956,1316607942,150793954,20255968,197753,7906,3482520728,0,0
1172483544,772579175,946414669,174080055,19544945,215639,57,4364003825,0,0
2537409880,974159265,965183787,169501909,17358929,248904,336,4545392694,0,0
1850853052,1106280085,912282642,135151625,23321468,206484,0,4273199257,0,0
1698050054,1010576951,1101216958,277423899,22837819,198921,3703,4255680681,0,0
1577459600,1212829864,1182379007,181080945,19256073,212003,1,2521916596,0,0
1486376556,959404845,1112323803,165178633,16691942,163478,6773,3832565010,0,0
1310639323,665283289,1361451321,170960268,11199061,191188,1896,3817760592,0,0
1861717812,1164873769,1257880255,247164278,22773445,217606,148,4099671721,0,0
1989410329,1068076772,920057673,291885230,21846703,218609,821,3554832942,0,0
2193935845,919507472,1223289815,194562505,12529293,139928,126,3268763565,0,0
2126920664,1260151695,885384253,143273686,10981639,271745,649,4023201540,0,0
2484602421,1166706380,790805969,184055796,20447079,167019,158,4967532589,0,0
1595802686,805128569,532630147,191210055,25658586,184495,100,3935313704,0,0
2314530340,1274004383,907824763,143164842,18926461,265330,4609,3878771478,0,0
2380473248,1109957538,1004067062,175955601,16810945,144332,65,3613183944,0,0
1573048253,865485173,790446766,187978401,22475182,194213,1349,3060103908,0,0
