year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,59994000.0,23997600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,119946010.79928,47978404.319712,11998.8,0.0,0.0,0.0,0.0,0.0,0.0
3000000,179856064.78308237,71942425.91323295,35982.002759856,11.992802599300148,0.0,0.0,0.0,0.0,0.0
4000000,239724194.30966806,95889677.72386724,71935.22471509254,47.81160683694745,0.011853514852603286,0.0,0.0,0.0,0.0
5000000,299550431.71034056,119820172.68413624,119844.09596466861,119.26459845188081,0.05912597373934812,5.8596868949775185e-05,0.0,0.0,0.0
6000000,359334809.2894698,143733923.71578792,179694.2602587544,238.13409263377903,0.17705207452102137,0.00035040025734974905,2.8244690555656836e-06,0.0,0.0
7000000,419077359.324516,167630943.72980642,251471.374986519,416.1764291743759,0.41249254849132755,0.0012226677425046073,1.7519919100064766e-05,4.0265431362854524e-07,0.0
8000000,478778114.06605375,191511245.62642154,335161.11116392893,665.121971498032,0.8238909137848817,0.003251164512689548,6.284678370784081e-05,2.5030969893396676e-06,4.0265431362854524e-07
9000000,538437105.7377957,215374842.29511833,430749.15342155774,996.675131195276,1.4812302997449156,0.007295255282764373,0.00017075635911626173,8.99372929243488e-06,2.905751302968213e-06
10000000,598054366.5366164,239221746.61464664,538221.1999924062,1422.5144009298458,2.4659903628330837,0.014552236418531771,0.00038982788646985085,2.446729571846692e-05,1.1899480595403093e-05
11000000,657629928.6325763,263051971.45303062,657562.9626997333,1954.2923906366934,3.8711043008609414,0.026610916260577468,0.0007886602608042176,5.591435853852206e-05,3.636677631387001e-05
12000000,717163824.1689454,286865529.6675782,788760.1669448988,2603.635865177896,5.800915968151146,0.045504451590052564,0.0014592173915368393,0.0001132142724207213,9.228113485239208e-05
13000000,776656085.2622269,310662434.1048908,931798.5516952154,3382.145782697705,8.371137092709144,0.07376244811210961,0.002520127327581498,0.00020961947958700813,0.00020549540727311338
14000000,836106744.0021812,334442697.6008725,1086663.869471813,4301.397333328456,11.708804595846022,0.11446233275958663,0.004119935530116867,0.0003622331260186318,0.00041511488686012154
15000000,895515832.4518495,358206332.98073983,1253341.8863375136,5372.939978074029,15.952238014396329,0.17128000554416573,0.006440312745118755,0.0005924800471022404,0.0007773480128787534
16000000,954883382.6475775,381953353.05903107,1431818.3818847148,6608.297487778834,21.250997025525827,0.2485397786062214,0.009699217944884098,0.0009265711848068547,0.0013698280599809937
17000000,1014209426.5990393,405683770.6396158,1622079.149223288,8018.967982130756,27.765839074044457,0.3512636100386154,0.014154016810361988,0.0013959615026209423,0.002296399244787848
18000000,1073493996.2892606,429397598.5157043,1824109.9949684844,9616.42396866786,35.66867710209512,0.4852196399841123,0.02010455622419025,0.0020378014656462166,0.0036923607474087907
19000000,1132737123.6746428,453094849.46985716,2037896.7392288523,11412.112381770467,45.142537381062496,0.6569700364310451,0.027896195240852517,0.0028953821533670653,0.005730162213055007
20000000,1191938840.6849864,476775536.2739946,2263425.2155941664,13417.454621627068,56.381517445530406,0.8739181580574342,0.037922792996284184,0.004018574072321774,0.008625544366422072
21000000,1251099179.2235146,500439671.6894059,2500681.2711233664,15643.846593166556,69.59074412910589,1.144355041400001,0.05062965401492294,0.0054642597354268895,0.012644118438743846
22000000,1310218171.166897,524087268.4667589,2749650.7663325076,18102.658744951885,84.98633170192211,1.4775052195514347,0.06651643136776951,0.0072967600741457635,0.018108378174170735
23000000,1369295848.3652732,547718339.3461094,3010319.575182721,20805.236108031768,102.79534010962814,1.8835718795168916,0.08613998813056467,0.009588254749090707,0.0254051382483165
24000000,1428332242.6422758,571332897.0569104,3282673.5850681844,23762.898334748104,123.25573331367046,2.373781365289015,0.11011721758673287,0.012419196424026637,0.03499339299740721
25000000,1487327385.7950544,594930954.3180218,3566698.6968041053,26986.93973749757,146.61633773266982,2.960427033629779,0.13912782261530762,0.01587871906761444,0.04741258942143385
26000000,1546281309.5942993,618512523.8377197,3862380.8246147144,30488.629327446175,173.1368007846958,3.656912469477165,0.1739170546996502,0.020065040346599623,0.06329130848904829
27000000,1605194045.7842643,642077618.3137057,4169705.8961212668,34279.210853196004,203.08754953024024,4.477794067825086,0.21529841298840302,0.025085858173521054,0.08335634883564791
28000000,1664065626.0827906,665626250.4331162,4488659.852330059,38369.90283940353,236.749749415691,5.438822988856054,0.2641563038357889,0.031058741471385848,0.10844220700916896
29000000,1722896082.1813302,689158432.8725321,4819228.647620452,42771.8986253491,274.41526311710675,6.556986493037854,0.3214486612440758,0.038111515217132824,0.1395009484805548
30000000,1781685445.7449694,712674178.2979878,5161398.249732908,47496.366403457316,316.3866094840935,7.850548662827946,0.3882095286267755,0.04638263982508737,0.17761246369768763
31000000,1840433748.4124515,736173499.3649807,5515154.639757035,52554.44925776795,362.9769225835838,9.339090517562415,0.46555160230693504,0.056021584930996876,0.223995103522775
32000000,1899141021.796201,759656408.7184805,5880483.812119647,57957.26520235743,414.5099108433195,11.043549528040078,0.5546687371607109,0.06718919763662713,0.28001668845377187
33000000,1957807297.4823465,783122918.9929386,6257371.774572827,63715.90721971063,471.3198162948388,12.986258537246794,0.6568384148122858,0.08005806527429783,0.347205886090399
34000000,2016432607.030744,806573042.8122976,6645804.54818201,69841.443299043,533.7513739157696,15.190984093600095,0.7734241747821029,0.0948128727501372,0.4272639513646968
35000000,2075016981.9750004,830006792.7900001,7045768.1673140675,76344.91647457296,602.1597710712298,17.68296420303003,0.9058780089863413,0.11165075452424564,0.522076824114834
36000000,2133560453.8224964,853424181.5289985,7457248.679625411,83237.3448637444,676.910607054137,20.488945506148415,1.055742719981552,0.13078164128537156,0.6337275786390797
37000000,2192063054.0544105,876825221.6217641,7880232.146050097,90529.72170539953,758.379852724229,23.637219886695792,1.224654243344404,0.15242860137712325,0.7645092199244512
38000000,2250524814.125741,900209925.6502963,8314704.640787954,98233.01539790192,846.9538102455978,27.1576605173929,1.4143439345725655,0.17682817703216622,0.9169378213015744
39000000,2308945765.4653306,923578306.1861322,8760652.25129271,106358.16953720976,943.0290729225402,31.08175734926183,1.6266408208888452,0.20423071547028734,1.0937659983337407
40000000,2367325939.4758887,946930375.7903553,9218061.07826013,114916.10295489934,1047.012485133527,35.44265205042084,1.8634738183268853,0.234900694915643,1.297996713804028
41000000,2425665367.534014,970266147.0136056,9686917.235616177,123917.7097561389,1159.3211023630945,40.27517240029628,2.1268739144728626,0.26911704558795235,1.532897408719671
42000000,2483964080.99022,993585632.3960879,10167206.850505171,133373.85935761276,1280.3821513314626,45.615866145135215,2.418976317233908,0.307173465721844,1.8020144543076233
43000000,2542222111.168955,1016888844.4675819,10658916.063277964,143295.3965253959,1410.6329902216817,51.503034320642875,2.742022570000182,0.34937873266801983,2.109187920029467
44000000,2600439489.368627,1040175795.7474507,11162031.027480116,153693.1414127787,1550.5210690041142,57.9767640475105,3.0983626335638843,0.3960570091293545,2.458566652697487
